correct: 0.971 
antenna 1 stay longer 


Key: Tag1, Value: E28068940000401D6E135DC6
Key: Tag2, Value: E28068940000501D6E13EDC6
Key: Tag3, Value: E28068940000401D6E13B5C6
Key: Tag4, Value: E28068940000401D6E136DC6
Key: Tag5, Value: 000000000000000000001088
*SGo* -- Listen on :16311
--- {E28068940000501D6E13EDC6 17 1740496795314170 -41}
--- {E28068940000501D6E13EDC6 17 1740496795324399 -42}
--- {E28068940000501D6E13EDC6 17 1740496795359431 -43}
--- {E28068940000501D6E13EDC6 17 1740496795370902 -44}
--- {E28068940000501D6E13EDC6 17 1740496795406402 -44}
--- {E28068940000501D6E13EDC6 17 1740496795423227 -43}
--- {E28068940000501D6E13EDC6 17 1740496795456555 -44}
--- {E28068940000501D6E13EDC6 17 1740496795466344 -44}
--- {E28068940000501D6E13EDC6 17 1740496795503651 -46}
--- 5
--- {E28068940000501D6E13EDC6 17 1740496795511067 -46}
--- {E28068940000501D6E13EDC6 17 1740496795547130 -47}
--- {E28068940000501D6E13EDC6 17 1740496795555838 -48}
--- {E28068940000501D6E13EDC6 17 1740496795594219 -51}
--- {E28068940000501D6E13EDC6 17 1740496795606265 -53}
--- 2
--- {E28068940000501D6E13EDC6 17 1740496795777304 -58}
--- {E28068940000501D6E13EDC6 17 1740496795781154 -58}
--- 6
--- {E28068940000501D6E13EDC6 9 1740496799151162 -61}
--- {E28068940000501D6E13EDC6 9 1740496799159027 -60}
--- {E28068940000501D6E13EDC6 9 1740496799197681 -56}
--- {E28068940000501D6E13EDC6 9 1740496799207640 -56}
--- {E28068940000501D6E13EDC6 9 1740496799243408 -53}
--- {E28068940000501D6E13EDC6 9 1740496799252355 -52}
tag.Starttime 1740496795406402
--- 10
--- {E28068940000501D6E13EDC6 9 1740496799291579 -48}
--- {E28068940000501D6E13EDC6 9 1740496799305863 -47}
--- {E28068940000501D6E13EDC6 9 1740496799342461 -46}
--- {E28068940000501D6E13EDC6 9 1740496799350387 -45}
--- {E28068940000501D6E13EDC6 9 1740496799385350 -44}
--- {E28068940000501D6E13EDC6 9 1740496799391600 -44}
--- {E28068940000501D6E13EDC6 9 1740496799430664 -43}
--- {E28068940000501D6E13EDC6 9 1740496799439532 -43}
--- {E28068940000501D6E13EDC6 9 1740496799476044 -43}
--- {E28068940000501D6E13EDC6 9 1740496799485967 -43}
--- 10
--- {E28068940000501D6E13EDC6 9 1740496799526560 -46}
--- {E28068940000501D6E13EDC6 9 1740496799538884 -47}
--- {E28068940000501D6E13EDC6 9 1740496799574459 -51}
--- {E28068940000501D6E13EDC6 9 1740496799583189 -52}
--- {E28068940000501D6E13EDC6 9 1740496799616848 -51}
--- {E28068940000501D6E13EDC6 9 1740496799629910 -51}
--- {E28068940000501D6E13EDC6 9 1740496799666528 -55}
--- {E28068940000501D6E13EDC6 9 1740496799673335 -56}
--- {E28068940000501D6E13EDC6 9 1740496799715975 -56}
--- {E28068940000501D6E13EDC6 9 1740496799728346 -57}
timeEnd 1740496799526560
tag.Endtime 1740496799485967
speed: Tag2 0.971 4 4.120158
--- 2
--- {E28068940000501D6E13EDC6 9 1740496799764384 -59}
--- {E28068940000501D6E13EDC6 9 1740496799769155 -60}
--- 4
--- {E28068940000501D6E13EDC6 9 1740496801404768 -59}
--- {E28068940000501D6E13EDC6 9 1740496801411000 -59}
--- {E28068940000501D6E13EDC6 9 1740496801449296 -59}
--- {E28068940000501D6E13EDC6 9 1740496801456876 -59}
--- 4
--- {E28068940000501D6E13EDC6 9 1740496801628468 -59}
--- {E28068940000501D6E13EDC6 9 1740496801637208 -59}
--- {E28068940000501D6E13EDC6 9 1740496801670029 -59}
--- {E28068940000501D6E13EDC6 9 1740496801682031 -60}
Tag2 ready to run
