result: 0.795 


Key: Tag1, Value: E28068940000401D6E135DC6
Key: Tag2, Value: E28068940000501D6E13EDC6
Key: Tag3, Value: E28068940000401D6E13B5C6
Key: Tag4, Value: E28068940000401D6E136DC6
Key: Tag5, Value: 000000000000000000001088
*SGo* -- Listen on :16311
RFID ready to run
RFID ready to run
--- 6
--- {E28068940000401D6E136DC6 17 1738680507026708 -57}
--- {E28068940000401D6E136DC6 17 1738680507064883 -56}
--- {E28068940000401D6E136DC6 17 1738680507072047 -56}
--- {E28068940000401D6E136DC6 17 1738680507111000 -56}
--- {E28068940000401D6E136DC6 17 1738680507119091 -55}
--- 10
--- {E28068940000401D6E136DC6 17 1738680507163423 -54}
--- {E28068940000401D6E136DC6 17 1738680507173060 -54}
--- {E28068940000401D6E136DC6 17 1738680507209931 -52}
--- {E28068940000401D6E136DC6 17 1738680507215881 -52}
--- {E28068940000401D6E136DC6 17 1738680507252382 -50}
--- {E28068940000401D6E136DC6 17 1738680507260404 -50}
--- {E28068940000401D6E136DC6 17 1738680507297966 -51}
--- {E28068940000401D6E136DC6 17 1738680507306492 -50}
--- {E28068940000401D6E136DC6 17 1738680507350430 -51}
--- {E28068940000401D6E136DC6 17 1738680507360018 -51}
--- 4
--- {E28068940000401D6E136DC6 17 1738680507395017 -52}
--- {E28068940000401D6E136DC6 17 1738680507404225 -52}
--- {E28068940000401D6E136DC6 17 1738680507442000 -55}
--- {E28068940000401D6E136DC6 17 1738680507449121 -55}
--- 2
--- {E28068940000401D6E136DC6 17 1738680510864448 -58}
--- {E28068940000401D6E136DC6 17 1738680510873071 -57}
--- 10
--- {E28068940000401D6E136DC6 17 1738680510910691 -57}
--- {E28068940000401D6E136DC6 17 1738680510922721 -57}
--- {E28068940000401D6E136DC6 17 1738680510959421 -56}
--- {E28068940000401D6E136DC6 17 1738680510965981 -56}
--- {E28068940000401D6E136DC6 17 1738680511010963 -54}
--- {E28068940000401D6E136DC6 17 1738680511016259 -54}
--- {E28068940000401D6E136DC6 17 1738680511054284 -55}
--- {E28068940000401D6E136DC6 17 1738680511063373 -54}
--- {E28068940000401D6E136DC6 17 1738680511100273 -55}
--- {E28068940000401D6E136DC6 17 1738680511107443 -55}
--- 11
--- {E28068940000401D6E136DC6 17 1738680511147774 -55}
--- {E28068940000401D6E136DC6 17 1738680511155863 -55}
--- {E28068940000401D6E136DC6 17 1738680511191388 -55}
--- {E28068940000401D6E136DC6 17 1738680511209667 -55}
--- {E28068940000401D6E136DC6 17 1738680511245774 -55}
--- {E28068940000401D6E136DC6 17 1738680511250843 -55}
--- {E28068940000401D6E136DC6 17 1738680511292954 -55}
--- {E28068940000401D6E136DC6 17 1738680511297666 -55}
--- {E28068940000401D6E136DC6 17 1738680511332440 -55}
--- {E28068940000401D6E136DC6 17 1738680511344016 -55}
--- {E28068940000401D6E136DC6 17 1738680511380923 -54}
--- 11
--- {E28068940000401D6E136DC6 17 1738680511386273 -55}
--- {E28068940000401D6E136DC6 17 1738680511433112 -55}
--- {E28068940000401D6E136DC6 17 1738680511441110 -55}
--- {E28068940000401D6E136DC6 17 1738680511479927 -55}
--- {E28068940000401D6E136DC6 17 1738680511486179 -55}
--- {E28068940000401D6E136DC6 17 1738680511520860 -55}
--- {E28068940000401D6E136DC6 17 1738680511529290 -55}
--- {E28068940000401D6E136DC6 17 1738680511567693 -55}
--- {E28068940000401D6E136DC6 17 1738680511577578 -55}
--- {E28068940000401D6E136DC6 17 1738680511625456 -55}
--- {E28068940000401D6E136DC6 17 1738680511633192 -55}
--- 10
--- {E28068940000401D6E136DC6 17 1738680511670566 -55}
--- {E28068940000401D6E136DC6 17 1738680511677322 -55}
--- {E28068940000401D6E136DC6 17 1738680511712627 -56}
--- {E28068940000401D6E136DC6 17 1738680511723998 -57}
--- {E28068940000401D6E136DC6 17 1738680511760707 -57}
--- {E28068940000401D6E136DC6 17 1738680511769505 -57}
--- {E28068940000401D6E136DC6 17 1738680511810442 -53}
--- {E28068940000401D6E136DC6 17 1738680511823066 -53}
--- {E28068940000401D6E136DC6 17 1738680511858639 -53}
--- {E28068940000401D6E136DC6 17 1738680511866085 -53}
--- 11
--- {E28068940000401D6E136DC6 17 1738680511900726 -53}
